game_pk,game_date,away_team,home_team,venue,status,total_runs,total_strikeouts,total_home_runs,duration_min,attendance,note,error
823537,2026-06-07,Boston Red Sox,New York Yankees,Yankee Stadium,pending,,,,,,Scheduled,
823538,2026-06-05,Boston Red Sox,New York Yankees,Yankee Stadium,pending,,,,,,Scheduled,
823539,2026-06-06,Boston Red Sox,New York Yankees,Yankee Stadium,pending,,,,,,Scheduled,
823615,2026-06-14,Atlanta Braves,New York Mets,Citi Field,pending,,,,,,Scheduled,
823616,2026-06-13,Atlanta Braves,New York Mets,Citi Field,pending,,,,,,Scheduled,
823617,2026-06-12,Atlanta Braves,New York Mets,Citi Field,pending,,,,,,Scheduled,
823618,2026-06-10,St. Louis Cardinals,New York Mets,Citi Field,pending,,,,,,Scheduled,
823619,2026-06-11,St. Louis Cardinals,New York Mets,Citi Field,pending,,,,,,Scheduled,
823620,2026-06-09,St. Louis Cardinals,New York Mets,Citi Field,pending,,,,,,Scheduled,
823693,2026-06-14,St. Louis Cardinals,Minnesota Twins,Target Field,pending,,,,,,Scheduled,
823694,2026-06-13,St. Louis Cardinals,Minnesota Twins,Target Field,pending,,,,,,Scheduled,
823695,2026-06-12,St. Louis Cardinals,Minnesota Twins,Target Field,pending,,,,,,Scheduled,
823696,2026-06-07,Kansas City Royals,Minnesota Twins,Target Field,pending,,,,,,Scheduled,
823697,2026-06-06,Kansas City Royals,Minnesota Twins,Target Field,pending,,,,,,Scheduled,
823699,2026-06-05,Kansas City Royals,Minnesota Twins,Target Field,pending,,,,,,Scheduled,
823772,2026-06-18,Cleveland Guardians,Milwaukee Brewers,American Family Field,pending,,,,,,Scheduled,
823774,2026-06-17,Cleveland Guardians,Milwaukee Brewers,American Family Field,pending,,,,,,Scheduled,
823775,2026-06-16,Cleveland Guardians,Milwaukee Brewers,American Family Field,pending,,,,,,Scheduled,
823776,2026-06-13,Philadelphia Phillies,Milwaukee Brewers,American Family Field,pending,,,,,,Scheduled,
823777,2026-06-14,Philadelphia Phillies,Milwaukee Brewers,American Family Field,pending,,,,,,Scheduled,
823778,2026-06-12,Philadelphia Phillies,Milwaukee Brewers,American Family Field,pending,,,,,,Scheduled,
823855,2026-06-11,Arizona Diamondbacks,Miami Marlins,loanDepot park,pending,,,,,,Scheduled,
823856,2026-06-10,Arizona Diamondbacks,Miami Marlins,loanDepot park,pending,,,,,,Scheduled,
823857,2026-06-07,Tampa Bay Rays,Miami Marlins,loanDepot park,pending,,,,,,Scheduled,
823858,2026-06-09,Arizona Diamondbacks,Miami Marlins,loanDepot park,pending,,,,,,Scheduled,
823859,2026-06-06,Tampa Bay Rays,Miami Marlins,loanDepot park,pending,,,,,,Scheduled,
823860,2026-06-05,Tampa Bay Rays,Miami Marlins,loanDepot park,pending,,,,,,Scheduled,
823938,2026-06-15,Tampa Bay Rays,Los Angeles Dodgers,UNIQLO Field at Dodger Stadium,pending,,,,,,Scheduled,
823939,2026-06-16,Tampa Bay Rays,Los Angeles Dodgers,UNIQLO Field at Dodger Stadium,pending,,,,,,Scheduled,
823940,2026-06-17,Tampa Bay Rays,Los Angeles Dodgers,UNIQLO Field at Dodger Stadium,pending,,,,,,Scheduled,
823941,2026-06-07,Los Angeles Angels,Los Angeles Dodgers,UNIQLO Field at Dodger Stadium,pending,,,,,,Scheduled,
823942,2026-06-06,Los Angeles Angels,Los Angeles Dodgers,UNIQLO Field at Dodger Stadium,pending,,,,,,Scheduled,
823943,2026-06-05,Los Angeles Angels,Los Angeles Dodgers,UNIQLO Field at Dodger Stadium,pending,,,,,,Scheduled,
824019,2026-06-13,Tampa Bay Rays,Los Angeles Angels,Angel Stadium,pending,,,,,,Scheduled,
824020,2026-06-12,Tampa Bay Rays,Los Angeles Angels,Angel Stadium,pending,,,,,,Scheduled,
824021,2026-06-14,Tampa Bay Rays,Los Angeles Angels,Angel Stadium,pending,,,,,,Scheduled,
824022,2026-06-10,Houston Astros,Los Angeles Angels,Angel Stadium,pending,,,,,,Scheduled,
824023,2026-06-09,Houston Astros,Los Angeles Angels,Angel Stadium,pending,,,,,,Scheduled,
824025,2026-06-08,Houston Astros,Los Angeles Angels,Angel Stadium,pending,,,,,,Scheduled,
824098,2026-06-18,St. Louis Cardinals,Kansas City Royals,Kauffman Stadium,pending,,,,,,Scheduled,
