model,domain,horizon,n,hit_rate_90,ece_90,mean_brier,mean_ece,mad,mead,mu
claude,stocks,1d,18466,0.8499,0.0501,0.000853,0.0501,0.016837,0.014776,0.8776
gemini,stocks,1d,21715,0.7278,0.1722,0.000788,0.1722,0.016163,0.010422,0.6448
gpt4o,stocks,1d,18114,0.534,0.366,0.000817,0.366,0.016118,0.006405,0.3974
claude,stocks,1m,18230,0.8211,0.0789,0.017154,0.0789,0.07956,0.059757,0.7511
gemini,stocks,1m,17526,0.7338,0.1662,0.016969,0.1662,0.078974,0.04932,0.6245
gpt4o,stocks,1m,13917,0.5814,0.3186,0.016106,0.3186,0.078251,0.03422,0.4373
claude,stocks,1w,18459,0.8159,0.0841,0.003873,0.0841,0.037596,0.02937,0.7812
gemini,stocks,1w,20916,0.7447,0.1553,0.003657,0.1553,0.036611,0.024158,0.6598
gpt4o,stocks,1w,17315,0.5711,0.3289,0.00372,0.3289,0.03602,0.015644,0.4343
